"table_1._value_of_construction_put_in_place_in_the_united_states,_seasonally_adjusted_annual_rate",unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8
(Millions of dollars. Details may not add to totals due to rounding.),0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,"Percent change
May 2024 from -",0
"            Type of Construction
","May
2024p","Apr
2024r","Mar
2024r","Feb
2024r","Jan
2024r","May
2023r","Apr
2024","May
2023"
0,0,0,0,0,0,0,0,0
Total Construction,2139792,2142126,2135771,2133750,2122229,2011831,-0.1,6.4
0,0,0,0,0,0,0,0,0
Residential,930464,932163,923926,925498,915398,872594,-0.2,6.6
0,0,0,0,0,0,0,0,0
Nonresidential,1209329,1209964,1211846,1208252,1206831,1139236,-0.1,6.2
    Lodging,23033,23036,23181,23533,23576,25167,0,-8.5
    Office,98151,99449,100272,101494,100928,98249,-1.3,-0.1
    Commercial,126760,127452,129401,129883,130717,145690,-0.5,-13
    Health care ,66598,67511,69936,68311,69830,64673,-1.4,3
    Educational,125972,126233,127842,127164,126055,118304,-0.2,6.5
    Religious,3997,4117,4248,4309,4399,3421,-2.9,16.8
    Public safety,18440,18408,18145,17951,17411,14194,0.2,29.9
    Amusement and recreation,37071,37037,37341,36788,36446,35965,0.1,3.1
    Transportation,66687,66112,65519,65906,65448,65122,0.9,2.4
    Communication,28328,28120,28103,27933,28595,27428,0.7,3.3
    Power,144048,145186,146050,148056,146801,130055,-0.8,10.8
    Highway and street ,148568,149377,150553,147818,149196,136251,-0.5,9
    Sewage and waste disposal ,45331,44365,43609,43492,43120,40909,2.2,10.8
    Water supply ,30842,31016,30568,30069,29614,27343,-0.6,12.8
    Conservation and development ,11371,11474,11332,11126,11593,11800,-0.9,-3.6
    Manufacturing,234133,231071,225748,224419,223104,194667,1.3,20.3
0,0,0,0,0,0,0,0,0
Total Private Construction1,1652144,1656720,1650284,1653354,1644026,1567224,-0.3,5.4
0,0,0,0,0,0,0,0,0
Residential2,918247,920253,911890,914102,904235,861971,-0.2,6.5
    New single family,436606,439627,440500,440394,435000,383702,-0.7,13.8
    New multifamily ,130883,130904,131377,131453,132883,137132,0,-4.6
0,0,0,0,0,0,0,0,0
Nonresidential,733898,736468,738393,739252,739791,705253,-0.3,4.1
    Lodging,22351,22366,22560,22933,22972,24848,-0.1,-10
    Office,82372,83769,84678,85504,84990,83797,-1.7,-1.7
    Commercial,121832,122599,124683,125406,126352,140785,-0.6,-13.5
    Health care,52558,53731,56169,55022,56149,51525,-2.2,2
    Educational,23856,24704,25676,24915,24647,22500,-3.4,6
    Religious,3997,4117,4248,4309,4399,3421,-2.9,16.8
    Amusement and recreation ,17368,17487,17818,17511,17663,18589,-0.7,-6.6
    Transportation,21149,20888,20494,20351,20333,20679,1.2,2.3
    Communication,27663,27506,27440,27376,28061,27058,0.6,2.2
    Power,123585,124588,125000,127133,126714,114084,-0.8,8.3
    Manufacturing ,233251,230253,224837,223765,222458,194123,1.3,20.2
0,0,0,0,0,0,0,0,0
Total Public Construction3,487648,485406,485488,480395,478203,444607,0.5,9.7
0,0,0,0,0,0,0,0,0
Residential,12217,11910,12035,11396,11163,10624,2.6,15
0,0,0,0,0,0,0,0,0
Nonresidential,475431,473496,473452,469000,467040,433983,0.4,9.6
    Office,15779,15680,15594,15991,15938,14452,0.6,9.2
    Commercial,4929,4854,4718,4477,4365,4906,1.5,0.5
    Health care,14040,13780,13767,13289,13681,13148,1.9,6.8
    Educational,102117,101529,102165,102249,101408,95804,0.6,6.6
    Public safety,18255,18226,17930,17704,17170,13987,0.2,30.5
    Amusement and recreation,19702,19549,19523,19277,18782,17377,0.8,13.4
    Transportation,45538,45223,45025,45556,45115,44442,0.7,2.5
    Power,20463,20598,21051,20922,20087,15971,-0.7,28.1
    Highway and street,147584,148349,149381,146848,148044,135179,-0.5,9.2
    Sewage and waste disposal ,43953,42733,41670,41255,40788,39526,2.9,11.2
    Water supply,29680,29639,29237,28592,28375,26182,0.1,13.4
    Conservation and development,11163,11234,11197,11030,11504,11777,-0.6,-5.2
0,0,0,0,0,0,0,0,0
p Preliminary r Revised,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1Includes the following categories of private construction not shown separately:,0,0,0,0,0,0,0,0
"public safety, highway and street, sewage and waste disposal, water supply, and conservation and development.",0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2Includes private residential improvements.,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
3Includes the following categories of public construction not shown separately:,0,0,0,0,0,0,0,0
"lodging, religious, communication, and manufacturing.",0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
"Data are at an annual rate, adjusted for seasonality but not price changes. Source: U.S. Census Bureau, Construction Spending, July 1, 2024.",0,0,0,0,0,0,0,0
Table 3 provides estimated measures of sampling variability. Additional information on the survey methodology may be found at,0,0,0,0,0,0,0,0
<www.census.gov/construction/c30/meth.html>,0,0,0,0,0,0,0,0
