"table_1._value_of_construction_put_in_place_in_the_united_states,_seasonally_adjusted_annual_rate",unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8
(Millions of dollars. Details may not add to totals due to rounding.),0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,"Percent change
Jan 2024 from -",0
"            Type of Construction
","Jan
2024p","Dec
2023r","Nov
2023r","Oct
2023","Sep
2023","Jan
2023","Dec
2023","Jan
2023"
0,0,0,0,0,0,0,0,0
Total Construction,2102434,2105791,2082923,2058903,2017510,1882199,-0.2,11.7
0,0,0,0,0,0,0,0,0
Residential,912206,910225,897439,900880,880387,865778,0.2,5.4
0,0,0,0,0,0,0,0,0
Nonresidential,1190228,1195566,1185484,1158023,1137124,1016421,-0.4,17.1
    Lodging,23807,23957,23972,23871,24385,22579,-0.6,5.4
    Office,101975,102105,101936,101330,101067,95597,-0.1,6.7
    Commercial,130964,135214,136121,134719,136018,126925,-3.1,3.2
    Health care ,67361,67378,67365,65233,63878,59559,0,13.1
    Educational,126546,127618,127348,124260,121222,105769,-0.8,19.6
    Religious,3921,3895,3901,4002,3522,3174,0.7,23.5
    Public safety,14765,15211,14922,14785,13555,11196,-2.9,31.9
    Amusement and recreation,34507,34825,34774,34450,33476,29616,-0.9,16.5
    Transportation,65341,64803,64438,64855,64779,62518,0.8,4.5
    Communication,25473,25367,25366,25376,25122,24609,0.4,3.5
    Power,134476,134190,133111,129515,126560,115869,0.2,16.1
    Highway and street ,151080,154437,147043,141891,135558,123802,-2.2,22
    Sewage and waste disposal ,44016,44515,44624,44419,43643,35516,-1.1,23.9
    Water supply ,29226,29815,30067,29840,28959,23923,-2,22.2
    Conservation and development ,11823,11844,11849,12268,12043,11121,-0.2,6.3
    Manufacturing,224947,220394,218647,207210,203337,164649,2.1,36.6
0,0,0,0,0,0,0,0,0
Total Private Construction1,1623448,1622263,1608894,1591086,1565336,1483271,0.1,9.5
0,0,0,0,0,0,0,0,0
Residential2,900846,899079,886493,889911,869635,856046,0.2,5.2
    New single family,430129,427532,419770,410575,406009,382298,0.6,12.5
    New multifamily ,134477,135006,134438,135043,135491,124644,-0.4,7.9
0,0,0,0,0,0,0,0,0
Nonresidential,722602,723183,722401,701176,695701,627226,-0.1,15.2
    Lodging,23217,23408,23488,23529,24032,22241,-0.8,4.4
    Office,86082,85985,85923,85398,85460,82130,0.1,4.8
    Commercial,126122,130379,131455,129857,131362,122346,-3.3,3.1
    Health care,53699,53802,54338,52132,51135,47016,-0.2,14.2
    Educational,24996,25321,25124,23791,23887,20390,-1.3,22.6
    Religious,3921,3895,3901,4002,3522,3174,0.7,23.5
    Amusement and recreation ,16506,16674,16716,16519,16310,15100,-1,9.3
    Transportation,19674,19774,19767,19690,19588,18888,-0.5,4.2
    Communication,24944,24836,24858,24921,24738,24398,0.4,2.2
    Power,114774,114422,113693,110400,108400,104376,0.3,10
    Manufacturing ,224293,219973,218173,206692,202834,164186,2,36.6
0,0,0,0,0,0,0,0,0
Total Public Construction3,478986,483528,474028,467817,452174,398928,-0.9,20.1
0,0,0,0,0,0,0,0,0
Residential,11360,11146,10946,10969,10752,9733,1.9,16.7
0,0,0,0,0,0,0,0,0
Nonresidential,467626,472383,463083,456848,441423,389195,-1,20.2
    Office,15893,16120,16013,15932,15607,13467,-1.4,18
    Commercial,4843,4835,4666,4862,4656,4579,0.2,5.8
    Health care,13661,13576,13027,13102,12743,12544,0.6,8.9
    Educational,101549,102297,102224,100470,97336,85379,-0.7,18.9
    Public safety,14575,15022,14632,14533,13267,10977,-3,32.8
    Amusement and recreation,18002,18150,18058,17931,17166,14517,-0.8,24
    Transportation,45667,45029,44671,45166,45191,43629,1.4,4.7
    Power,19702,19769,19418,19114,18161,11493,-0.3,71.4
    Highway and street,150115,153307,145893,140963,134554,122859,-2.1,22.2
    Sewage and waste disposal ,41920,42359,42344,42496,41889,34557,-1,21.3
    Water supply,28236,28623,28853,28754,27653,23117,-1.4,22.1
    Conservation and development,11691,11794,11817,12211,11962,11066,-0.9,5.6
0,0,0,0,0,0,0,0,0
p Preliminary r Revised,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1Includes the following categories of private construction not shown separately:,0,0,0,0,0,0,0,0
"public safety, highway and street, sewage and waste disposal, water supply, and conservation and development.",0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2Includes private residential improvements.,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
3Includes the following categories of public construction not shown separately:,0,0,0,0,0,0,0,0
"lodging, religious, communication, and manufacturing.",0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
"Data are at an annual rate, adjusted for seasonality but not price changes. Source: U.S. Census Bureau, Construction Spending, March 1, 2024.",0,0,0,0,0,0,0,0
Table 3 provides estimated measures of sampling variability. Additional information on the survey methodology may be found at,0,0,0,0,0,0,0,0
<www.census.gov/construction/c30/meth.html>,0,0,0,0,0,0,0,0
