"table_1._value_of_construction_put_in_place_in_the_united_states,_seasonally_adjusted_annual_rate",unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8
(Millions of dollars. Details may not add to totals due to rounding.),0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,"Percent change
Jun 2024 from -",0
"            Type of Construction
","Jun
2024p","May
2024r","Apr
2024r","Mar
2024","Feb
2024","Jun
2023","May
2024","Jun
2023"
0,0,0,0,0,0,0,0,0
Total Construction,2148444,2154816,2163179,2135771,2133750,2023013,-0.3,6.2
0,0,0,0,0,0,0,0,0
Residential,939806,943162,949358,923926,925498,875539,-0.4,7.3
0,0,0,0,0,0,0,0,0
Nonresidential,1208638,1211653,1213820,1211846,1208252,1147474,-0.2,5.3
    Lodging,23350,23273,23181,23181,23533,25891,0.3,-9.8
    Office,98481,98520,100234,100272,101494,97709,0,0.8
    Commercial,125171,126491,127087,129401,129883,144770,-1,-13.5
    Health care ,66283,67101,67516,69936,68311,64643,-1.2,2.5
    Educational,126104,127015,127204,127842,127164,120756,-0.7,4.4
    Religious,3907,3932,4120,4248,4309,3686,-0.6,6
    Public safety,18832,18656,18510,18145,17951,14707,0.9,28
    Amusement and recreation,38436,38224,38341,37341,36788,36897,0.6,4.2
    Transportation,67130,66866,66443,65519,65906,65009,0.4,3.3
    Communication,28355,28368,28147,28103,27933,28037,0,1.1
    Power,143880,144687,145955,146050,148056,128241,-0.6,12.2
    Highway and street ,144470,145034,146623,150553,147818,136774,-0.4,5.6
    Sewage and waste disposal ,45251,45667,45232,43609,43492,42548,-0.9,6.4
    Water supply ,31252,30834,32104,30568,30069,28444,1.4,9.9
    Conservation and development ,12202,11581,11541,11332,11126,11671,5.4,4.5
    Manufacturing,235532,235406,231583,225748,224419,197693,0.1,19.1
0,0,0,0,0,0,0,0,0
Total Private Construction1,1664594,1668809,1676330,1650284,1653354,1572044,-0.3,5.9
0,0,0,0,0,0,0,0,0
Residential2,927986,931097,937484,911890,914102,864826,-0.3,7.3
    New single family,431020,436449,439157,440500,440394,392079,-1.2,9.9
    New multifamily ,130083,129902,130690,131377,131453,140455,0.1,-7.4
0,0,0,0,0,0,0,0,0
Nonresidential,736608,737712,738845,738393,739252,707218,-0.1,4.2
    Lodging,22671,22606,22491,22560,22933,25483,0.3,-11
    Office,82938,82445,83826,84678,85504,83262,0.6,-0.4
    Commercial,120100,121129,122207,124683,125406,140200,-0.8,-14.3
    Health care,53108,53529,53997,56169,55022,51476,-0.8,3.2
    Educational,24204,24208,24796,25676,24915,23543,0,2.8
    Religious,3907,3932,4120,4248,4309,3686,-0.6,6
    Amusement and recreation ,17669,17529,17668,17818,17511,19340,0.8,-8.6
    Transportation,21510,21277,20958,20494,20351,20548,1.1,4.7
    Communication,27743,27722,27533,27440,27376,27486,0.1,0.9
    Power,124134,124836,125725,125000,127133,111144,-0.6,11.7
    Manufacturing ,234782,234489,230822,224837,223765,197141,0.1,19.1
0,0,0,0,0,0,0,0,0
Total Public Construction3,483850,486006,486849,485488,480395,450969,-0.4,7.3
0,0,0,0,0,0,0,0,0
Residential,11820,12065,11874,12035,11396,10714,-2,10.3
0,0,0,0,0,0,0,0,0
Nonresidential,472030,473941,474975,473452,469000,440255,-0.4,7.2
    Office,15543,16076,16408,15594,15991,14447,-3.3,7.6
    Commercial,5071,5361,4879,4718,4477,4570,-5.4,11
    Health care,13175,13573,13519,13767,13289,13167,-2.9,0.1
    Educational,101900,102807,102408,102165,102249,97213,-0.9,4.8
    Public safety,18627,18473,18296,17930,17704,14491,0.8,28.5
    Amusement and recreation,20767,20695,20673,19523,19277,17557,0.3,18.3
    Transportation,45620,45588,45485,45025,45556,44461,0.1,2.6
    Power,19747,19851,20230,21051,20922,17097,-0.5,15.5
    Highway and street,143525,144060,145636,149381,146848,135786,-0.4,5.7
    Sewage and waste disposal ,43990,44069,43475,41670,41255,41150,-0.2,6.9
    Water supply,30043,29771,30586,29237,28592,27168,0.9,10.6
    Conservation and development,11981,11388,11316,11197,11030,11639,5.2,2.9
0,0,0,0,0,0,0,0,0
p Preliminary r Revised,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1Includes the following categories of private construction not shown separately:,0,0,0,0,0,0,0,0
"public safety, highway and street, sewage and waste disposal, water supply, and conservation and development.",0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2Includes private residential improvements.,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
3Includes the following categories of public construction not shown separately:,0,0,0,0,0,0,0,0
"lodging, religious, communication, and manufacturing.",0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
"Data are at an annual rate, adjusted for seasonality but not price changes. Source: U.S. Census Bureau, Construction Spending, August 1, 2024.",0,0,0,0,0,0,0,0
Table 3 provides estimated measures of sampling variability. Additional information on the survey methodology may be found at,0,0,0,0,0,0,0,0
<www.census.gov/construction/c30/meth.html>,0,0,0,0,0,0,0,0
